id,Library_Geolocation__Latitude__s,Library_Geolocation__Longitude__s
2,40.57749939,-79.96510315
3,47.6369389,-122.3032646
4,37.2309476,-76.5554272
5,44.3528459,-79.6636302
6,34.296368,-82.088261
7,29.9448568,-90.2074778
8,47.4468281,-122.7462401
9,38.6492853,-90.3223277
10,41.5450132,-83.8446916
11,33.4693347,-112.09349
12,34.0429521,-118.4796217
13,43.062264,-88.169674
14,32.4020778,-91.1912037
15,39.532444,-104.851295
16,34.1642274,-118.2356332
17,45.6549377,-122.6731622
18,33.238821,-84.2730801
19,45.0159256,-92.7799686
21,34.1157914,-118.0063014
22,38.7537651,-77.0771773
23,30.226745,-97.768019
24,36.9873626,-86.4401006
25,30.030732,-95.505026
26,32.9440104,-97.1054475
28,42.246332,-71.1733689
29,36.5861149,-76.1526456
30,44.58958,-89.893324
32,43.908073,-69.969557
33,32.2545672,-110.9390678
34,47.7470899,-93.645004
35,38.9436451,-77.2793482
36,33.3487368,-111.8758157
39,47.0221461,-122.8532113
40,34.4187845,-119.7066992
42,38.4184908,-121.3653756
43,40.6754482,-73.4997977
44,33.9157128,-86.0576005
45,41.688024,-88.1076281
47,41.692148,-88.0976303
48,32.0461097,-84.230093
49,31.1162739,-97.3354109
51,37.7701909,-122.1614787
52,38.66196,-90.0457078
54,31.1193335,-97.3764108
55,33.9497113,-84.5616707
58,33.4899247,-112.055974
60,37.2396089,-76.7779338
61,38.2820047,-122.0526934
62,37.8927125,-122.2729432
64,26.0977958,-97.7431556
65,37.75991,-122.394988
66,44.513212,-87.961229
67,26.1266426,-97.6315028
68,26.1167284,-97.6246388
69,26.0450684,-97.6708554
70,26.1502607,-97.6595884
71,26.0460007,-97.6721443
72,26.0748543,-97.6392426
73,26.1111908,-97.6515648
74,26.1397911,-97.6337559
75,40.8832367,-86.745625
76,41.6379529,-70.8983227
77,38.9572621,-104.7439588
78,40.2113216,-79.4980917
80,40.6925318,-75.4072904
82,39.0002002,-77.0384332
83,37.9592605,-121.2987091
84,43.5039135,13.09613
85,42.8344406,-90.7238556
86,42.5026568,-88.7268879
87,42.8768066,-89.9346111
88,43.182763,-90.1977455
89,42.5778349,-90.0240222
90,42.7028156,-89.8667592
91,42.569456,-90.3815119
92,37.6455502,-120.9396299
93,35.0533093,-80.9333825
94,42.5518667,-71.4242081
95,44.2588628,-89.4070628
96,36.1242509,-86.8762699
97,38.7371514,-77.2139516
98,47.8533647,-122.1219104
99,40.6970977,-89.6217764
101,33.9848765,-98.5342471
102,40.7559125,-79.2683935
103,37.0680277,-76.4826447
104,39.9747205,-86.1429317
105,32.7888468,-97.1123644
106,34.4528875,-119.2790404
107,47.1284252,-122.1436915
108,38.7333349,-120.8262276
109,37.2842609,-121.9164895
110,37.468361,-122.268743
111,48.4379772,-122.6684391
114,33.4270988,-111.954741
115,32.7813523,-116.945409
116,33.5142877,-84.318436
117,42.9613707,-87.8597902
118,47.6619772,-122.2043448
119,38.2873201,-85.7217361
121,38.3122184,-85.691156
122,38.2861098,-85.7475942
123,38.4576398,-85.6648487
124,41.0582391,-111.9722538
125,30.431643,-91.150952
126,33.5344704,-112.0802628
127,-27.5876902,153.0248861
128,35.116961,-80.6726801
129,36.1584059,-96.0086066
130,42.3276569,-88.009918
131,33.4082167,-111.9327101
132,36.4813063,-82.4964679
133,43.046618,-89.3195099
134,32.8683314,-97.1465809
135,43.0639914,-89.3460814
136,41.65829,-91.49058
137,43.06673,-89.341045
138,34.8002117,-92.3978547
139,43.0721227,-89.3340957
140,43.0628264,-89.3437814
141,37.2949824,-121.8916808
142,40.3505845,-88.7585316
143,44.951047,-91.359778
144,36.08104,-119.032559
145,14.314098,120.983569
146,14.6516074,121.0493183
147,37.0902352,-94.5198044
148,45.975321,8.425373
149,32.811816,-79.9580245
150,39.9549167,-86.261158
151,42.0168278,-93.4545086
152,37.4463941,-122.1451103
153,40.6233247,-98.6568142
154,39.7598,-105.227768
155,29.9972362,-95.2606696
156,33.0031349,-117.0424917
157,38.6168217,-122.8642201
158,33.353952,-111.9196452
159,32.6495419,-96.928922
160,40.7513473,-75.600282
161,43.1848507,-90.4417523
162,35.603362,-77.578601
163,33.4032133,-112.04667
164,30.4263796,-87.202997
166,43.7048791,-98.0403003
167,41.2876155,-81.1000864
168,47.5272966,-121.8362819
169,37.3814094,-89.6674939
170,30.5048079,-86.4899807
171,51.08627,-114.1110098
172,45.182859,-93.8747263
173,45.173849,-93.877274
175,41.9204409,-88.3252026
176,39.6159123,-105.1174672
177,32.2255549,-110.9119828
178,39.5236863,-119.8133985
179,38.8324616,-77.0871148
180,45.4658361,-122.6161529
181,39.7553849,-105.048759
182,37.9746866,-122.102717
184,35.2522114,-77.9588804
185,36.9814675,-76.6331278
186,35.960822,-79.9983589
187,36.538687,-79.20624
188,37.7641651,-122.446757
189,32.7142869,-97.1331194
190,37.6102614,-122.4324775
191,38.021929,-78.506274
